Name,Religious Affiliation,Percent Admitted,Tuition,State,Region,Type,Urbanization,Enrollment,Percent American Indian,Percent Asian,Percent African American,Percent Hispanic,Percent Pacific Islander,Percent White,Percent Other Ethnicity,Percent Non Resident Alien,Graduation Rate,Percent Receiving Financial Aid,Percent Receiving Student Loan
North Carolina State University at Raleigh,No,50,8206,North Carolina,Southeast,Public,City,24536,0,5,7,4,0,69,2,10,41,71,46
University of Memphis,No,68,8312,Tennessee,Southeast,Public,City,17223,0,3,35,3,0,53,1,3,13,97,53
Tennessee State University,No,,6498,Tennessee,Southeast,Public,City,6816,0,2,69,1,0,23,1,3,8,98,81
University of Arizona,No,77,10391,Arizona,Southwest,Public,City,31670,1,6,3,21,0,54,3,8,40,83,37
University of New Mexico-Main Campus,No,65,6846,New Mexico,Southwest,Public,City,22416,5,3,2,40,0,40,3,4,15,98,35
Texas A & M University-Corpus Christi,No,93,7172,Texas,Southwest,Public,City,9152,0,2,5,43,0,41,2,5,24,74,58
University of Houston-Downtown,No,95,5238,Texas,Southwest,Public,City,13486,0,9,25,39,0,18,1,5,3,83,34
University of Houston,No,58,8401,Texas,Southwest,Public,City,31706,0,19,11,26,0,31,1,9,16,87,37
The University of Texas at Arlington,No,60,8878,Texas,Southwest,Public,City,25690,0,10,14,22,0,40,1,9,17,79,45
The University of Texas at Austin,No,40,9798,Texas,Southwest,Public,City,39979,0,15,4,19,0,48,1,9,51,63,39
The University of Texas at El Paso,No,100,7255,Texas,Southwest,Public,City,19696,0,1,3,79,0,9,1,6,12,86,41
The University of Texas at San Antonio,No,73,7457,Texas,Southwest,Public,City,24342,0,5,9,47,0,29,1,6,10,84,53
Texas Southern University,No,45,7946,Texas,Southwest,Public,City,6288,0,5,80,7,0,3,0,5,6,95,77
California State University-San Bernardino,No,58,6550,California,Far West,Public,City,16191,0,6,7,52,0,19,6,6,9,85,44
California State University-East Bay,No,69,6550,California,Far West,Public,City,12146,0,23,10,23,1,20,8,9,11,75,48
University of California-Berkeley,No,18,12864,California,Far West,Public,City,25951,0,30,2,12,0,31,5,15,72,69,30
University of California-Irvine,No,42,13149,California,Far West,Public,City,23530,0,39,2,19,0,21,3,11,68,77,46
California Maritime Academy,No,75,6536,California,Far West,Public,City,1045,0,8,2,16,1,58,6,1,43,68,60
University of Nevada-Las Vegas,No,85,6690,Nevada,Far West,Public,City,23097,0,15,7,21,1,41,2,4,15,92,38
University of Nevada-Reno,No,84,6610,Nevada,Far West,Public,City,15694,1,6,3,15,0,65,1,3,16,94,43
University of Oregon,No,74,9763,Oregon,Far West,Public,City,20797,1,5,2,8,0,65,2,13,44,68,42
University of Washington-Tacoma Campus,No,85,11902,Washington,Far West,Public,City,3626,1,15,7,9,1,49,7,5,30,83,38
University of Illinois at Springfield,No,60,9178,Illinois,Great Lakes,Public,City,3039,0,4,12,5,0,66,3,7,28,96,65
Indiana University-South Bend,No,70,6816,Indiana,Great Lakes,Public,City,7512,0,2,6,7,0,78,2,2,6,86,57
University of Michigan-Ann Arbor,No,33,13142,Michigan,Great Lakes,Public,City,28283,0,11,4,4,0,57,6,14,76,63,36
University of Michigan-Flint,No,78,9356,Michigan,Great Lakes,Public,City,7143,1,2,11,4,0,68,5,6,9,84,81
University of Akron Main Campus,No,96,10054,Ohio,Great Lakes,Public,City,20477,0,2,13,2,0,72,3,5,16,90,68
University of Wisconsin-Green Bay,No,85,7676,Wisconsin,Great Lakes,Public,City,6445,1,2,1,4,0,87,0,2,20,89,70
University of Wisconsin-Madison,No,68,10403,Wisconsin,Great Lakes,Public,City,30728,0,5,2,4,0,72,1,12,55,64,37
SUNY College of Environmental Science and Forestry,No,51,7033,New York,Mid East,Public,City,1702,0,2,1,2,0,82,2,8,51,90,61
Southern Connecticut State University,No,75,9020,Connecticut,New England,Public,City,8257,0,2,14,10,0,64,7,0,18,81,69
Worcester State University,No,61,8157,Massachusetts,New England,Public,City,5556,0,3,6,7,0,73,7,1,34,88,71
University of New Hampshire at Manchester,No,73,13762,New Hampshire,New England,Public,City,833,0,2,2,4,0,68,22,0,30,88,68
Washburn University,No,,5774,Kansas,Plains,Public,City,6179,1,1,5,6,0,63,17,3,17,92,60
University of Missouri-Columbia,No,79,9415,Missouri,Plains,Public,City,26928,0,2,7,3,0,77,2,6,47,84,52
Missouri State University-Springfield,No,85,6908,Missouri,Plains,Public,City,18027,1,1,4,3,0,81,2,6,30,89,60
North Dakota State University-Main Campus,No,84,7660,North Dakota,Plains,Public,City,11948,1,1,2,1,0,81,4,8,26,88,64
Colorado State University-Fort Collins,No,77,9313,Colorado,Rocky Mountains,Public,City,23548,0,2,2,8,0,73,6,5,37,73,46
Colorado State University-Pueblo,No,94,7327,Colorado,Rocky Mountains,Public,City,5207,1,2,6,23,0,55,10,2,18,94,80
Boise State University,No,78,6292,Idaho,Rocky Mountains,Public,City,19026,1,2,2,8,0,76,4,3,11,80,50
Montana State University-Billings,No,,5745,Montana,Rocky Mountains,Public,City,4465,4,1,1,4,0,83,1,3,12,90,60
University of Utah,No,82,7457,Utah,Rocky Mountains,Public,City,24492,0,5,1,8,1,69,4,9,24,64,27
Alabama A & M University,No,90,7182,Alabama,Southeast,Public,City,4051,0,1,92,1,0,5,1,0,10,97,89
University of Alabama at Birmingham,No,87,7206,Alabama,Southeast,Public,City,11502,0,5,21,3,0,64,1,3,29,90,56
University of Alabama in Huntsville,No,81,9192,Alabama,Southeast,Public,City,5696,1,4,12,3,0,69,3,6,16,87,46
Alabama State University,No,51,8720,Alabama,Southeast,Public,City,5356,0,0,91,1,0,3,1,2,9,93,81
Auburn University at Montgomery,No,84,8750,Alabama,Southeast,Public,City,4322,0,2,30,1,0,53,9,5,10,90,36
University of South Alabama,No,86,6948,Alabama,Southeast,Public,City,11307,1,3,20,2,0,66,2,3,14,91,63
University of Arkansas at Little Rock,No,53,7094,Arkansas,Southeast,Public,City,9970,0,3,23,6,0,58,1,4,7,94,46
Florida Agricultural and Mechanical University,No,45,5785,Florida,Southeast,Public,City,8930,0,1,91,2,0,5,0,1,12,95,72
Florida State University,No,57,6507,Florida,Southeast,Public,City,32528,0,3,9,15,0,65,2,4,57,95,38
University of Florida,No,47,6263,Florida,Southeast,Public,City,33168,0,7,7,16,1,56,3,9,65,96,30
Armstrong Atlantic State University,No,70,5085,Georgia,Southeast,Public,City,6377,0,3,24,6,0,61,0,2,10,91,61
Columbus State University,No,55,5514,Georgia,Southeast,Public,City,7013,0,2,35,5,0,53,0,1,12,93,65
University of Georgia,No,56,10262,Georgia,Southeast,Public,City,26278,0,8,8,5,0,70,2,5,57,94,40
Savannah State University,No,83,5415,Georgia,Southeast,Public,City,4602,0,0,87,2,0,6,1,1,8,99,92
Louisiana State University-Shreveport,No,83,5606,Louisiana,Southeast,Public,City,3674,1,2,20,4,0,62,7,2,15,94,27
Southern University and A & M College,No,36,6630,Louisiana,Southeast,Public,City,5746,0,1,93,1,0,4,0,0,8,98,94
University of Louisiana at Lafayette,No,59,6192,Louisiana,Southeast,Public,City,15053,0,2,20,3,0,68,1,4,13,94,36
Jackson State University,No,65,6348,Mississippi,Southeast,Public,City,6903,0,1,90,1,0,6,0,0,17,93,72
Fayetteville State University,No,55,4605,North Carolina,Southeast,Public,City,5410,2,2,65,6,0,18,6,1,12,96,82
North Carolina Central University,No,50,5526,North Carolina,Southeast,Public,City,6220,0,1,77,3,0,11,4,1,15,97,89
University of North Carolina Wilmington,No,54,6343,North Carolina,Southeast,Public,City,12447,1,2,5,6,0,80,2,1,52,69,54
Winston-Salem State University,No,56,5468,North Carolina,Southeast,Public,City,4938,0,1,70,2,0,19,4,2,18,96,82
College of Charleston,No,70,10626,South Carolina,Southeast,Public,City,10488,0,2,6,4,0,82,1,1,52,75,43
Citadel Military College of South Carolina,No,80,10838,South Carolina,Southeast,Public,City,2735,1,2,9,5,0,79,0,1,62,85,55
University of South Carolina-Columbia,No,61,10816,South Carolina,Southeast,Public,City,24180,0,2,11,4,0,74,2,4,54,90,47
Austin Peay State University,No,86,6876,Tennessee,Southeast,Public,City,9550,0,1,18,5,0,67,2,0,15,99,56
Middle Tennessee State University,No,70,7546,Tennessee,Southeast,Public,City,21162,0,3,19,4,0,67,1,3,16,99,57
The University of Tennessee-Chattanooga,No,78,7554,Tennessee,Southeast,Public,City,10297,0,2,11,3,0,75,1,1,15,96,73
The University of Tennessee-Knoxville,No,72,11194,Tennessee,Southeast,Public,City,21182,0,3,7,3,0,76,4,4,37,96,42
Christopher Newport University,No,59,11092,Virginia,Southeast,Public,City,5094,0,2,8,5,0,76,4,0,50,75,52
Norfolk State University,No,65,7126,Virginia,Southeast,Public,City,6021,0,1,83,3,0,6,4,1,21,97,85
Old Dominion University,No,77,8550,Virginia,Southeast,Public,City,19819,0,4,23,6,0,54,4,3,23,82,65
Virginia Commonwealth University,No,69,12002,Virginia,Southeast,Public,City,23356,0,11,16,6,0,53,4,5,30,79,57
University of South Florida-St Petersburg,No,44,5820,Florida,Southeast,Public,City,4025,0,4,7,14,0,70,2,0,22,98,51
Arizona State University-Tempe,No,80,9861,Arizona,Southwest,Public,City,38730,1,6,4,16,0,56,1,12,38,91,42
Lamar University,No,77,7429,Texas,Southwest,Public,City,9382,0,3,26,12,0,51,1,5,13,81,59
Texas A & M International University,No,48,5818,Texas,Southwest,Public,City,6585,0,1,1,93,0,2,0,3,21,99,21
Midwestern State University,No,72,7665,Texas,Southwest,Public,City,5193,1,3,14,14,0,58,1,6,17,90,54
University of North Texas,No,60,8745,Texas,Southwest,Public,City,31243,0,5,13,19,0,52,1,6,25,89,55
The University of Texas at Brownsville,No,,5372,Texas,Southwest,Public,City,11220,0,1,1,89,0,5,0,4,9,89,51
The University of Texas at Dallas,No,59,10864,Texas,Southwest,Public,City,13049,0,19,5,12,0,35,2,23,46,84,29
The University of Texas of the Permian Basin,No,84,5250,Texas,Southwest,Public,City,4246,1,3,6,42,0,46,1,1,13,92,23
Texas Tech University,No,66,7517,Texas,Southwest,Public,City,27044,0,3,6,19,0,62,1,7,33,75,48
Texas Woman's University,No,86,7339,Texas,Southwest,Public,City,9515,1,8,20,20,0,46,1,2,22,93,67
California State University-Chico,No,72,6972,California,Far West,Public,City,15290,1,6,2,22,0,52,9,4,17,63,45
California State University-Dominguez Hills,No,57,6100,California,Far West,Public,City,12481,0,10,16,50,0,12,6,2,4,88,37
University of California-Santa Cruz,No,60,13397,California,Far West,Public,City,15695,0,19,2,29,0,38,3,2,50,80,62
Oregon State University,No,79,8322,Oregon,Far West,Public,City,23157,1,6,1,7,0,66,4,10,30,86,55
Western Washington University,No,84,8863,Washington,Far West,Public,City,14026,0,6,1,7,0,76,1,1,38,73,50
University of Illinois at Urbana-Champaign,No,62,14750,Illinois,Great Lakes,Public,City,32695,0,13,5,7,0,50,1,21,68,65,42
Southern Illinois University-Carbondale,No,79,12093,Illinois,Great Lakes,Public,City,13306,0,2,17,6,0,63,0,8,23,88,71
Ball State University,No,61,9160,Indiana,Great Lakes,Public,City,16300,0,1,6,3,0,80,4,4,35,87,67
Indiana State University,No,83,8256,Indiana,Great Lakes,Public,City,10268,0,1,16,3,0,67,2,7,22,92,68
Indiana University-Kokomo,No,74,6675,Indiana,Great Lakes,Public,City,3981,0,1,4,4,0,83,5,1,7,82,47
Indiana University-Bloomington,No,72,10209,Indiana,Great Lakes,Public,City,36862,0,4,4,4,0,70,1,14,58,71,38
Indiana University-Northwest,No,76,6739,Indiana,Great Lakes,Public,City,5904,0,2,19,16,0,53,8,0,8,79,51
Michigan State University,No,69,12862,Michigan,Great Lakes,Public,City,37985,0,4,6,3,0,67,1,14,50,63,43
University of Michigan-Dearborn,No,63,10614,Michigan,Great Lakes,Public,City,7144,0,6,10,5,0,66,3,7,15,89,65
Western Michigan University,No,83,10355,Michigan,Great Lakes,Public,City,19198,0,1,10,4,0,72,1,7,24,84,71
Youngstown State University,No,,8129,Ohio,Great Lakes,Public,City,12138,0,1,14,3,0,75,4,1,9,96,73
University of Wisconsin-Eau Claire,No,76,8710,Wisconsin,Great Lakes,Public,City,10404,0,3,1,2,0,90,0,2,26,82,60
University of Wisconsin-La Crosse,No,72,8769,Wisconsin,Great Lakes,Public,City,9702,0,3,1,3,0,89,0,3,35,81,61
University of Wisconsin-Oshkosh,No,81,7401,Wisconsin,Great Lakes,Public,City,12622,1,3,2,3,0,88,0,1,17,83,68
Delaware State University,No,42,7336,Delaware,Mid East,Public,City,3892,0,1,69,5,0,12,2,6,18,97,81
Towson University,No,60,8342,Maryland,Mid East,Public,City,18779,0,5,15,5,0,65,5,3,40,75,54
Rutgers University-Camden,No,59,13348,New Jersey,Mid East,Public,City,4842,0,8,16,10,0,59,2,2,27,85,66
Rutgers University-New Brunswick,No,60,13499,New Jersey,Mid East,Public,City,33901,0,22,8,11,0,45,3,8,57,76,59
Thomas Edison State College,No,,5700,New Jersey,Mid East,Public,City,19596,1,4,15,8,1,58,11,1,,,
SUNY at Albany,No,55,8040,New York,Mid East,Public,City,12822,0,7,12,11,0,55,5,8,56,79,64
Bloomsburg University of Pennsylvania,No,89,8582,Pennsylvania,Mid East,Public,City,9416,0,1,8,4,0,82,2,1,42,84,76
East Stroudsburg University of Pennsylvania,No,78,8991,Pennsylvania,Mid East,Public,City,6186,0,1,9,10,0,64,12,1,36,83,73
Pennsylvania State University-Penn State Altoona,No,85,14240,Pennsylvania,Mid East,Public,City,3861,0,3,9,4,0,78,1,3,48,83,73
Pennsylvania State University-Main Campus,No,54,16992,Pennsylvania,Mid East,Public,City,40085,0,5,4,5,0,68,2,13,65,68,49
Pennsylvania College of Technology,No,,14940,Pennsylvania,Mid East,Public,City,5678,0,1,4,3,0,84,5,1,27,88,73
Western Connecticut State University,No,65,8893,Connecticut,New England,Public,City,5492,0,3,10,14,0,69,2,0,21,81,77
University of Southern Maine,No,83,8920,Maine,New England,Public,City,7098,1,2,2,2,0,75,16,1,10,93,74
Framingham State University,No,52,8080,Massachusetts,New England,Public,City,4584,0,2,6,8,0,77,4,0,33,93,75
University of Vermont,No,78,15718,Vermont,New England,Public,City,10912,0,3,1,4,0,81,5,3,65,94,51
Iowa State University,No,83,7726,Iowa,Plains,Public,City,27659,0,3,2,4,0,73,4,12,38,88,55
University of Iowa,No,80,8061,Iowa,Plains,Public,City,21974,0,3,3,5,0,70,5,12,48,83,50
University of Northern Iowa,No,83,7685,Iowa,Plains,Public,City,10380,0,1,3,3,0,86,2,4,37,87,59
University of Kansas,No,92,10107,Kansas,Plains,Public,City,19217,1,4,4,5,0,72,2,9,36,79,47
Kansas State University,No,96,8585,Kansas,Plains,Public,City,20169,0,1,4,5,0,76,2,9,26,83,52
Minnesota State University-Mankato,No,66,7557,Minnesota,Plains,Public,City,13467,0,3,4,3,0,77,4,6,21,85,70
University of Minnesota-Duluth,No,78,12815,Minnesota,Plains,Public,City,10079,1,3,2,2,0,83,4,3,30,83,64
Saint Cloud State University,No,87,7514,Minnesota,Plains,Public,City,15134,0,4,5,2,0,75,5,6,19,86,66
Lincoln University,No,,6838,Missouri,Plains,Public,City,2892,0,0,35,2,0,55,5,2,6,94,92
Missouri Southern State University,No,97,5376,Missouri,Plains,Public,City,5587,3,2,5,4,0,79,4,3,15,93,57
Missouri Western State University,No,,6400,Missouri,Plains,Public,City,5616,1,1,9,1,0,80,4,1,13,97,64
Southeast Missouri State University,No,85,6863,Missouri,Plains,Public,City,10605,0,1,9,1,0,77,4,7,27,93,57
University of North Dakota,No,74,7508,North Dakota,Plains,Public,City,11724,2,1,2,3,0,79,4,7,24,88,63
University of Colorado Boulder,No,88,10347,Colorado,Rocky Mountains,Public,City,26096,0,5,2,9,0,72,3,6,44,59,38
Colorado Mesa University,No,82,6725,Colorado,Rocky Mountains,Public,City,9576,1,1,2,14,0,73,4,0,13,90,65
University of Northern Colorado,No,70,6968,Colorado,Rocky Mountains,Public,City,9947,0,2,3,14,0,61,13,3,27,90,60
Idaho State University,No,,6344,Idaho,Rocky Mountains,Public,City,11418,1,1,1,8,0,74,5,7,11,87,55
Lewis-Clark State College,No,100,5786,Idaho,Rocky Mountains,Public,City,4304,2,1,1,5,0,84,2,2,9,97,65
The University of Montana,No,94,6045,Montana,Rocky Mountains,Public,City,12254,3,2,1,4,0,77,7,4,24,89,57
Dixie State University,No,,4291,Utah,Rocky Mountains,Public,City,8350,1,1,2,8,1,80,2,2,8,87,36
Utah State University,No,97,6030,Utah,Rocky Mountains,Public,City,24385,2,1,1,5,0,75,12,3,25,81,31
Utah Valley University,No,,5086,Utah,Rocky Mountains,Public,City,30370,1,1,1,10,1,80,2,2,7,74,30
Weber State University,No,,4990,Utah,Rocky Mountains,Public,City,24498,0,1,1,9,0,52,33,2,14,82,32
The University of Alabama,No,57,9450,Alabama,Southeast,Public,City,29440,0,1,11,3,0,77,0,4,43,75,42
Auburn University,No,83,9852,Alabama,Southeast,Public,City,19799,1,2,7,2,0,81,1,5,38,76,32
Jacksonville State University,No,83,7092,Alabama,Southeast,Public,City,7588,1,1,25,1,0,66,3,2,10,93,57
University of North Alabama,No,81,7078,Alabama,Southeast,Public,City,5881,1,1,13,2,0,72,4,5,12,82,70
University of Arkansas,No,59,7818,Arkansas,Southeast,Public,City,21009,1,2,5,6,0,76,0,5,37,81,41
University of Arkansas at Pine Bluff,No,28,5938,Arkansas,Southeast,Public,City,2521,0,0,92,1,0,5,0,1,6,96,74
Arkansas State University-Main Campus,No,76,7510,Arkansas,Southeast,Public,City,10098,0,1,14,2,0,74,1,6,19,95,50
University of Central Arkansas,No,90,7595,Arkansas,Southeast,Public,City,9754,1,1,17,3,0,68,3,4,21,95,53
University of Arkansas-Fort Smith,No,57,4528,Arkansas,Southeast,Public,City,7170,3,4,4,8,0,74,0,1,9,96,32
Florida Atlantic University,No,48,4790,Florida,Southeast,Public,City,25790,0,4,18,23,0,48,1,2,15,87,42
St Petersburg College,No,,3232,Florida,Southeast,Public,City,31820,0,3,14,10,0,66,3,1,,81,32
The University of West Florida,No,48,6357,Florida,Southeast,Public,City,10158,1,3,12,8,0,68,1,3,20,91,54
Albany State University,No,20,6024,Georgia,Southeast,Public,City,3660,0,0,89,1,0,7,3,0,16,99,93
Dalton State College,No,,3910,Georgia,Southeast,Public,City,5015,0,1,5,18,0,67,5,2,8,93,26
Southern Polytechnic State University,No,78,5732,Georgia,Southeast,Public,City,5732,0,7,23,8,0,52,2,5,10,91,57
Valdosta State University,No,55,5889,Georgia,Southeast,Public,City,9718,0,1,33,4,0,56,0,2,16,92,67
Western Kentucky University,No,92,8722,Kentucky,Southeast,Public,City,17509,0,1,10,2,0,77,1,5,25,93,57
McNeese State University,No,62,5701,Louisiana,Southeast,Public,City,7575,1,1,18,2,0,73,0,4,13,95,37
Nicholls State University,No,87,6468,Louisiana,Southeast,Public,City,5888,2,1,20,3,0,67,2,2,19,95,51
University of Louisiana at Monroe,No,77,6318,Louisiana,Southeast,Public,City,7276,0,2,24,2,0,64,2,3,19,96,47
Southeastern Louisiana University,No,45,5715,Louisiana,Southeast,Public,City,13730,0,1,15,5,0,67,5,2,13,93,46
University of Southern Mississippi,No,66,6744,Mississippi,Southeast,Public,City,12475,0,1,28,3,0,63,0,2,21,96,64
East Carolina University,No,62,6143,North Carolina,Southeast,Public,City,21508,1,3,15,5,0,71,2,1,31,73,61
University of North Carolina at Asheville,No,64,6241,North Carolina,Southeast,Public,City,3736,1,1,3,4,0,83,4,1,37,77,47
University of North Carolina at Chapel Hill,No,28,8340,North Carolina,Southeast,Public,City,18370,0,8,8,6,0,64,4,5,81,68,32
Coastal Carolina University,No,74,9760,South Carolina,Southeast,Public,City,8867,0,1,20,3,0,70,1,1,27,91,73
Winthrop University,No,72,13670,South Carolina,Southeast,Public,City,5048,0,1,28,3,0,61,0,3,35,99,73
East Tennessee State University,No,86,7249,Tennessee,Southeast,Public,City,11820,0,1,6,2,0,85,1,3,17,94,46
James Madison University,No,64,9176,Virginia,Southeast,Public,City,18431,0,4,4,5,0,79,3,2,65,60,43
Radford University,No,78,8976,Virginia,Southeast,Public,City,8913,0,1,9,4,0,79,1,1,41,75,62
Virginia Polytechnic Institute and State University,No,70,11455,Virginia,Southeast,Public,City,24034,0,7,4,5,0,68,3,9,61,73,42
University of Virginia-Main Campus,No,30,12668,Virginia,Southeast,Public,City,16087,0,10,6,5,0,62,6,8,86,54,25
Marshall University,No,79,6216,West Virginia,Southeast,Public,City,9756,0,1,5,2,0,83,5,2,23,94,60
West Virginia University,No,85,6456,West Virginia,Southeast,Public,City,22757,0,2,4,3,0,81,0,6,34,89,56
New College of Florida,No,61,6866,Florida,Southeast,Public,City,793,0,3,3,14,0,74,2,1,57,100,32
Northern Arizona University,No,91,9738,Arizona,Southwest,Public,City,22160,3,2,3,18,0,64,1,4,30,83,59
Cameron University,No,,5055,Oklahoma,Southwest,Public,City,5358,6,2,16,11,1,50,3,4,8,88,42
Angelo State University,No,80,6559,Texas,Southwest,Public,City,5473,1,1,8,28,0,57,1,2,14,93,59
University of Houston-Victoria,No,51,6248,Texas,Southwest,Public,City,2889,0,9,19,25,0,39,1,4,,96,69
The University of Texas-Pan American,No,62,5173,Texas,Southwest,Public,City,17230,0,1,1,88,0,3,3,3,16,90,27
Texas A & M University-College Station,No,69,8506,Texas,Southwest,Public,City,44072,0,5,3,17,0,63,1,8,49,79,34
The University of Texas at Tyler,No,82,7222,Texas,Southwest,Public,City,5591,0,3,10,13,0,63,1,3,27,83,42
Morrisville State College,No,59,7412,New York,Mid East,Public,Rural,3028,1,1,18,7,0,68,2,1,21,94,82
Maine Maritime Academy,No,65,11950,Maine,New England,Public,Rural,994,0,1,1,1,0,95,2,0,53,72,69
Johnson State College,No,97,10286,Vermont,New England,Public,Rural,1486,1,1,2,3,0,85,6,0,17,92,81
Peru State College,No,,6188,Nebraska,Plains,Public,Rural,2158,1,1,4,4,0,79,9,0,19,92,73
Langston University,No,,3815,Oklahoma,Southwest,Public,Rural,2075,2,1,81,1,0,14,0,1,16,94,82
Oklahoma Panhandle State University,No,48,6739,Oklahoma,Southwest,Public,Rural,1375,4,1,9,15,0,65,3,1,16,92,57
Governors State University,No,,,Illinois,Great Lakes,Public,Rural,3218,0,2,37,8,0,43,7,1,,,
Indiana University-East,No,54,6639,Indiana,Great Lakes,Public,Rural,4326,0,1,3,2,0,89,2,1,9,91,52
Purdue University-North Central Campus,No,72,7186,Indiana,Great Lakes,Public,Rural,6054,0,2,5,10,0,80,0,1,8,82,57
Saginaw Valley State University,No,79,8423,Michigan,Great Lakes,Public,Rural,9163,0,1,10,3,0,73,6,6,10,94,73
Central State University,No,33,6058,Ohio,Great Lakes,Public,Rural,2036,0,0,95,1,0,2,1,0,10,91,84
Kent State University at Salem,No,,5554,Ohio,Great Lakes,Public,Rural,1844,1,1,3,2,0,90,3,0,11,88,70
Ohio State University-Lima Campus,No,,7140,Ohio,Great Lakes,Public,Rural,1059,0,1,4,2,0,87,2,0,20,94,66
Ohio State University-Mansfield Campus,No,,7140,Ohio,Great Lakes,Public,Rural,1155,0,1,7,2,0,85,2,0,20,87,68
Pennsylvania State University-Penn State New Kensington,No,74,13412,Pennsylvania,Mid East,Public,Rural,680,0,2,4,1,0,88,2,2,34,93,72
Pennsylvania State University-Penn State Wilkes-Barre,No,82,13354,Pennsylvania,Mid East,Public,Rural,606,0,1,4,6,0,85,2,1,30,94,73
Pennsylvania State University-Penn State Fayette- Eberly,No,89,13412,Pennsylvania,Mid East,Public,Rural,846,0,1,4,2,0,86,4,2,21,94,72
University of Maine at Presque Isle,No,,7300,Maine,New England,Public,Rural,1263,3,0,1,1,0,74,13,6,15,99,79
University of Idaho,No,66,6524,Idaho,Rocky Mountains,Public,Rural,9540,1,2,1,7,0,78,4,5,25,91,53
Troy University,No,68,7276,Alabama,Southeast,Public,Rural,16316,1,1,38,3,0,47,5,3,13,78,75
Louisiana State University-Alexandria,No,61,5337,Louisiana,Southeast,Public,Rural,2211,1,1,15,4,0,76,0,0,7,92,35
Louisiana State University and Agricultural & Mechanical College,No,76,7873,Louisiana,Southeast,Public,Rural,24923,0,3,11,5,0,73,1,5,38,93,43
Western Carolina University,No,38,6265,North Carolina,Southeast,Public,Rural,8448,1,1,6,4,0,81,1,3,32,83,61
West Liberty University,No,71,6226,West Virginia,Southeast,Public,Rural,2660,0,1,5,1,0,89,1,2,22,97,74
West Virginia University Institute of Technology,No,51,5808,West Virginia,Southeast,Public,Rural,1222,0,2,7,5,0,77,2,5,4,96,65
Texas A & M University-Texarkana,No,37,5578,Texas,Southwest,Public,Rural,1401,1,1,16,10,0,68,1,1,,98,40
Stephen F Austin State University,No,57,8412,Texas,Southwest,Public,Rural,11006,0,1,21,13,0,59,2,1,23,86,62
University of Maine at Fort Kent,No,63,7575,Maine,New England,Public,Rural,1209,1,0,2,1,0,75,12,8,36,97,67
University of Maine at Machias,No,85,7490,Maine,New England,Public,Rural,892,2,0,3,3,0,74,16,1,14,98,67
Vermont Technical College,No,83,12494,Vermont,New England,Public,Rural,1543,1,1,1,1,0,89,1,2,29,94,82
Mayville State University,No,,6353,North Dakota,Plains,Public,Rural,1036,2,0,7,5,0,79,1,3,21,95,74
University of West Alabama,No,100,7660,Alabama,Southeast,Public,Rural,1999,1,1,49,1,0,41,4,2,18,95,81
Alcorn State University,No,83,6108,Mississippi,Southeast,Public,Rural,3157,0,0,93,0,0,4,0,1,18,77,68
California State Polytechnic University-Pomona,No,52,6350,California,Far West,Public,Suburb,20952,0,24,3,36,0,22,5,5,10,68,43
California State University-Fullerton,No,46,6186,California,Far West,Public,Suburb,33116,0,21,2,35,0,27,5,6,14,66,35
Sonoma State University,No,82,7234,California,Far West,Public,Suburb,8391,1,4,2,23,0,55,7,2,26,62,46
University of Hawaii-West Oahu,No,76,6336,Hawaii,Far West,Public,Suburb,2361,0,40,1,10,8,11,0,0,6,64,32
California State University-San Marcos,No,63,6649,California,Far West,Public,Suburb,10738,0,9,3,36,0,36,8,2,13,73,45
University of Washington-Bothell Campus,No,76,11911,Washington,Far West,Public,Suburb,4104,1,23,5,8,1,49,2,7,43,69,38
Southern Illinois University-Edwardsville,No,84,9666,Illinois,Great Lakes,Public,Suburb,11229,0,2,13,3,0,74,2,2,28,86,65
Indiana University-Southeast,No,79,6700,Indiana,Great Lakes,Public,Suburb,6148,0,1,6,3,0,86,1,0,9,80,45
Purdue University-Calumet Campus,No,61,6624,Indiana,Great Lakes,Public,Suburb,8390,0,2,12,15,0,53,8,7,9,66,48
Eastern Michigan University,No,64,9364,Michigan,Great Lakes,Public,Suburb,19189,0,2,19,3,0,65,3,3,12,97,70
Grand Valley State University,No,83,10716,Michigan,Great Lakes,Public,Suburb,21235,0,2,5,4,0,83,1,2,33,88,66
Oakland University,No,66,10613,Michigan,Great Lakes,Public,Suburb,16594,0,4,8,3,0,75,5,2,15,92,81
Kent State University at Kent,No,83,9816,Ohio,Great Lakes,Public,Suburb,22968,0,1,8,3,0,74,4,8,28,91,71
Wright State University-Main Campus,No,,8542,Ohio,Great Lakes,Public,Suburb,12796,0,3,11,3,0,70,1,9,19,88,66
Pennsylvania State University-Penn State Great Valley,No,,,Pennsylvania,Mid East,Public,Suburb,0,0,7,5,4,0,68,6,9,,,
University of Delaware,No,65,12112,Delaware,Mid East,Public,Suburb,18487,0,5,5,6,0,71,1,9,68,82,53
Bowie State University,No,52,6971,Maryland,Mid East,Public,Suburb,4358,0,2,85,3,0,4,1,3,13,90,73
University of Maryland-University College,No,,6552,Maryland,Mid East,Public,Suburb,26740,0,5,32,8,0,40,10,1,1,77,62
University of Maryland-Baltimore County,No,63,10068,Maryland,Mid East,Public,Suburb,11136,0,17,15,5,0,47,5,7,37,77,39
